variable,value_type,rank,value,count
respiratory_rate_measured__mean__last_12h,exact,19,14.0,3362
respiratory_rate_measured__mean__last_12h,exact,20,19.66666603088379,3355
respiratory_rate_measured__mean__last_12h,rounded_2dp,1,18.0,7956
respiratory_rate_measured__mean__last_12h,rounded_2dp,2,20.0,7028
respiratory_rate_measured__mean__last_12h,rounded_2dp,3,16.0,6725
respiratory_rate_measured__mean__last_12h,rounded_2dp,4,19.0,6632
respiratory_rate_measured__mean__last_12h,rounded_2dp,5,17.0,6393
respiratory_rate_measured__mean__last_12h,rounded_2dp,6,21.0,5427
respiratory_rate_measured__mean__last_12h,rounded_2dp,7,22.0,5372
respiratory_rate_measured__mean__last_12h,rounded_2dp,8,15.0,4563
respiratory_rate_measured__mean__last_12h,rounded_2dp,9,18.5,4139
respiratory_rate_measured__mean__last_12h,rounded_2dp,10,17.5,4098
respiratory_rate_measured__mean__last_12h,rounded_2dp,11,19.5,4029
respiratory_rate_measured__mean__last_12h,rounded_2dp,12,23.0,3907
respiratory_rate_measured__mean__last_12h,rounded_2dp,13,24.0,3888
respiratory_rate_measured__mean__last_12h,rounded_2dp,14,16.5,3666
respiratory_rate_measured__mean__last_12h,rounded_2dp,15,20.5,3633
respiratory_rate_measured__mean__last_12h,rounded_2dp,16,18.67,3442
respiratory_rate_measured__mean__last_12h,rounded_2dp,17,18.33,3432
respiratory_rate_measured__mean__last_12h,rounded_2dp,18,17.33,3369
respiratory_rate_measured__mean__last_12h,rounded_2dp,19,14.0,3362
respiratory_rate_measured__mean__last_12h,rounded_2dp,20,19.67,3357
o2_saturation__mean__last_12h,exact,1,100.0,18357
o2_saturation__mean__last_12h,exact,2,97.0,12261
o2_saturation__mean__last_12h,exact,3,96.0,11618
o2_saturation__mean__last_12h,exact,4,98.0,11214
o2_saturation__mean__last_12h,exact,5,99.0,9225
o2_saturation__mean__last_12h,exact,6,95.0,9142
o2_saturation__mean__last_12h,exact,7,96.5,7215
o2_saturation__mean__last_12h,exact,8,97.5,7058
o2_saturation__mean__last_12h,exact,9,95.5,6280
o2_saturation__mean__last_12h,exact,10,98.5,6229
o2_saturation__mean__last_12h,exact,11,96.66666412353516,5971
o2_saturation__mean__last_12h,exact,12,97.33333587646484,5912
o2_saturation__mean__last_12h,exact,13,94.0,5870
o2_saturation__mean__last_12h,exact,14,96.33333587646484,5826
o2_saturation__mean__last_12h,exact,15,97.66666412353516,5814
o2_saturation__mean__last_12h,exact,16,99.5,5336
o2_saturation__mean__last_12h,exact,17,98.33333587646484,5327
o2_saturation__mean__last_12h,exact,18,96.75,5312
o2_saturation__mean__last_12h,exact,19,97.25,5258
o2_saturation__mean__last_12h,exact,20,95.66666412353516,5165
o2_saturation__mean__last_12h,rounded_2dp,1,100.0,18357
o2_saturation__mean__last_12h,rounded_2dp,2,97.0,12262
o2_saturation__mean__last_12h,rounded_2dp,3,96.0,11618
o2_saturation__mean__last_12h,rounded_2dp,4,98.0,11214
o2_saturation__mean__last_12h,rounded_2dp,5,99.0,9225
o2_saturation__mean__last_12h,rounded_2dp,6,95.0,9142
o2_saturation__mean__last_12h,rounded_2dp,7,96.5,7215
o2_saturation__mean__last_12h,rounded_2dp,8,97.5,7058
o2_saturation__mean__last_12h,rounded_2dp,9,95.5,6280
o2_saturation__mean__last_12h,rounded_2dp,10,98.5,6229
o2_saturation__mean__last_12h,rounded_2dp,11,96.67,5971
o2_saturation__mean__last_12h,rounded_2dp,12,97.33,5914
o2_saturation__mean__last_12h,rounded_2dp,13,94.0,5870
o2_saturation__mean__last_12h,rounded_2dp,14,96.33,5828
o2_saturation__mean__last_12h,rounded_2dp,15,97.67,5816
o2_saturation__mean__last_12h,rounded_2dp,16,99.92,5459
o2_saturation__mean__last_12h,rounded_2dp,17,96.92,5409
o2_saturation__mean__last_12h,rounded_2dp,18,99.5,5336
o2_saturation__mean__last_12h,rounded_2dp,19,98.33,5329
o2_saturation__mean__last_12h,rounded_2dp,20,97.08,5324
fio2__last__last_12h,exact,1,40.0,18195
fio2__last__last_12h,exact,2,50.0,12004
fio2__last__last_12h,exact,3,30.0,3990
fio2__last__last_12h,exact,4,60.0,3252
fio2__last__last_12h,exact,5,35.0,3143
fio2__last__last_12h,exact,6,70.0,1714
fio2__last__last_12h,exact,7,100.0,1556
fio2__last__last_12h,exact,8,80.0,884
fio2__last__last_12h,exact,9,45.0,298
fio2__last__last_12h,exact,10,90.0,263
fio2__last__last_12h,exact,11,95.0,231
fio2__last__last_12h,exact,12,55.0,184
fio2__last__last_12h,exact,13,21.0,182
fio2__last__last_12h,exact,14,28.0,123
fio2__last__last_12h,exact,15,25.0,92
fio2__last__last_12h,exact,16,75.0,91
fio2__last__last_12h,exact,17,65.0,91
fio2__last__last_12h,exact,18,0.0,58
fio2__last__last_12h,exact,19,2.0,43
fio2__last__last_12h,exact,20,4.0,29
fio2__last__last_12h,rounded_2dp,1,40.0,18195
fio2__last__last_12h,rounded_2dp,2,50.0,12004
fio2__last__last_12h,rounded_2dp,3,30.0,3990
fio2__last__last_12h,rounded_2dp,4,60.0,3252
fio2__last__last_12h,rounded_2dp,5,35.0,3143
fio2__last__last_12h,rounded_2dp,6,70.0,1714
fio2__last__last_12h,rounded_2dp,7,100.0,1556
fio2__last__last_12h,rounded_2dp,8,80.0,884
fio2__last__last_12h,rounded_2dp,9,45.0,298
fio2__last__last_12h,rounded_2dp,10,90.0,263
fio2__last__last_12h,rounded_2dp,11,95.0,231
fio2__last__last_12h,rounded_2dp,12,55.0,184
fio2__last__last_12h,rounded_2dp,13,21.0,182
fio2__last__last_12h,rounded_2dp,14,28.0,123
fio2__last__last_12h,rounded_2dp,15,25.0,92
fio2__last__last_12h,rounded_2dp,16,75.0,91
fio2__last__last_12h,rounded_2dp,17,65.0,91
fio2__last__last_12h,rounded_2dp,18,0.0,58
fio2__last__last_12h,rounded_2dp,19,2.0,43
fio2__last__last_12h,rounded_2dp,20,4.0,29
po2_arterial__mean__last_12h,exact,1,89.0,1719
po2_arterial__mean__last_12h,exact,2,86.0,1711
po2_arterial__mean__last_12h,exact,3,39.0,1680
po2_arterial__mean__last_12h,exact,4,82.0,1674
po2_arterial__mean__last_12h,exact,5,80.0,1674
po2_arterial__mean__last_12h,exact,6,40.0,1661
po2_arterial__mean__last_12h,exact,7,88.0,1652
po2_arterial__mean__last_12h,exact,8,38.0,1637
po2_arterial__mean__last_12h,exact,9,41.0,1630
po2_arterial__mean__last_12h,exact,10,85.0,1621
po2_arterial__mean__last_12h,exact,11,90.0,1620
po2_arterial__mean__last_12h,exact,12,83.0,1614
po2_arterial__mean__last_12h,exact,13,84.0,1612
po2_arterial__mean__last_12h,exact,14,93.0,1612
po2_arterial__mean__last_12h,exact,15,92.0,1598
po2_arterial__mean__last_12h,exact,16,87.0,1594
po2_arterial__mean__last_12h,exact,17,37.0,1590
po2_arterial__mean__last_12h,exact,18,81.0,1589
po2_arterial__mean__last_12h,exact,19,91.0,1571
po2_arterial__mean__last_12h,exact,20,95.0,1553
po2_arterial__mean__last_12h,rounded_2dp,1,89.0,1719
po2_arterial__mean__last_12h,rounded_2dp,2,86.0,1711
po2_arterial__mean__last_12h,rounded_2dp,3,39.0,1680
po2_arterial__mean__last_12h,rounded_2dp,4,80.0,1674
po2_arterial__mean__last_12h,rounded_2dp,5,82.0,1674
po2_arterial__mean__last_12h,rounded_2dp,6,40.0,1661
po2_arterial__mean__last_12h,rounded_2dp,7,88.0,1652
po2_arterial__mean__last_12h,rounded_2dp,8,38.0,1637
po2_arterial__mean__last_12h,rounded_2dp,9,41.0,1630
po2_arterial__mean__last_12h,rounded_2dp,10,85.0,1621
po2_arterial__mean__last_12h,rounded_2dp,11,90.0,1620
po2_arterial__mean__last_12h,rounded_2dp,12,83.0,1614
po2_arterial__mean__last_12h,rounded_2dp,13,84.0,1612
po2_arterial__mean__last_12h,rounded_2dp,14,93.0,1612
po2_arterial__mean__last_12h,rounded_2dp,15,92.0,1598
po2_arterial__mean__last_12h,rounded_2dp,16,87.0,1594
po2_arterial__mean__last_12h,rounded_2dp,17,37.0,1590
po2_arterial__mean__last_12h,rounded_2dp,18,81.0,1589
po2_arterial__mean__last_12h,rounded_2dp,19,91.0,1571
po2_arterial__mean__last_12h,rounded_2dp,20,95.0,1553
